data_type	code	name	short_name	extra1	extra2	create_by	create_time
MATERIAL	5012-B25-50-B05-0500	5012-B25-50-B05-0500				system-auto-sync	2026-03-30 17:53:33
MATERIAL	5012-TE12-0805-T01-0300	5012-TE12-0805-T01-0300				system-auto-sync	2026-03-30 17:53:33
MATERIAL	5012-TE12-0805-T01-0300-W25	5012-TE12-0805-T01-0300-W25				system-auto-sync	2026-03-30 17:53:33
MATERIAL	5012-TE12-1012-T01-0400-HG09	5012-TE12-1012-T01-0400-HG09				system-auto-sync	2026-03-30 17:53:33
MATERIAL	5012-TE12-25-T01-0300-W25	5012-TE12-25-T01-0300-W25				system-auto-sync	2026-03-30 17:53:33
MATERIAL	5012-TE12-35-T01-0400-HG09	5012-TE12-35-T01-0400-HG09				system-auto-sync	2026-03-30 17:53:33
MATERIAL	5012-TE20-45-T01-0500-W50	5012-TE20-45-T01-0500-W50				system-auto-sync	2026-03-30 17:53:33
MATERIAL	5012-TE20-48-T01-0010	5012-TE20-48-T01-0010				system-auto-sync	2026-03-30 17:53:33
MATERIAL	5012-TE20-48-T01-0500	5012-TE20-48-T01-0500				system-auto-sync	2026-03-30 17:53:33
MATERIAL	5012-TE20-48-T01-0500-W50	5012-TE20-48-T01-0500-W50				system-auto-sync	2026-03-30 17:53:33
MATERIAL	BDJ-R02-11-G01-0300	BDJ-R02-11-G01-0300				system-auto-sync	2026-03-30 17:53:33
MATERIAL	C301-36-T01-H	C301-36-T01-H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	CML-2525-B02-0700	CML-2525-B02-0700				system-auto-sync	2026-03-30 17:53:33
MATERIAL	CML-2525-BK01-0800	CML-2525-BK01-0800				system-auto-sync	2026-03-30 17:53:33
MATERIAL	CML-2525-R01-0600	CML-2525-R01-0600				system-auto-sync	2026-03-30 17:53:33
MATERIAL	CML-2525-W01-0600	CML-2525-W01-0600				system-auto-sync	2026-03-30 17:53:33
MATERIAL	CS1011-2530-C02-0600	CS1011-2530-C02-0600				system-auto-sync	2026-03-30 17:53:33
MATERIAL	DY-125-BK01	DY-125-BK01				system-auto-sync	2026-03-30 17:53:33
MATERIAL	DY-125-W01	DY-125-W01				system-auto-sync	2026-03-30 17:53:33
MATERIAL	ETJ-3000A25+25渭锛?锛?6锛?锛?ETJ-3000A25+25渭锛?锛?6锛?锛?			system-auto-sync	2026-03-30 17:53:33
